,p,B,Bitrate,Match
0,0.2,32,0.7026521638922477,True
1,0.2,256,0.7026521638922477,True
2,0.2,1024,0.7026521638922477,True
3,0.2,8192,0.7026521638922477,True
4,0.4,32,1.071842364800909,True
5,0.4,256,1.071842364800909,True
6,0.4,1024,1.071842364800909,True
7,0.4,8192,1.071842364800909,True
8,0.6,32,1.5733182407953716,True
9,0.6,256,1.5733182407953716,True
10,0.6,1024,1.5733182407953716,True
11,0.6,8192,1.5733182407953716,True
12,0.8,32,2.080402559479319,True
13,0.8,256,2.080402559479319,True
14,0.8,1024,2.080402559479319,True
15,0.8,8192,2.080402559479319,True
